Unnamed: 0,공기청정기_효용_상태,역명,설치대수,미세먼지,이산화탄소,폼알데하이드,일산화탄소,총 승객수,오염_등급,오염_점수,공기청정기_군집
192,부족,사가정,14,87.0,574.0,32.0,0.7,20354.0,2,55.33072234719578,1
193,심각한 부족,용마산,14,71.4,500.0,30.0,0.8,7729.0,1,44.028825440772145,0
194,과잉,중곡,14,81.7,411.0,35.0,1.0,12245.0,1,50.903447732210495,3
196,심각한 부족,어린이대공원,16,73.4,494.0,16.0,0.9,17813.0,1,46.77988194804945,0
197,심각한 과잉,건대입구,18,74.6,456.0,33.3,1.0,111768.0,1,61.951440272250096,4
198,심각한 부족,청담,16,73.5,487.0,17.3,0.9,16219.0,1,46.59470304358693,0
199,과잉,강남구청,16,77.1,586.0,24.0,0.8,16556.0,1,48.806538232297015,3
200,과잉,학동,16,77.2,455.0,32.5,0.8,14304.0,1,48.520149968275945,3
201,과잉,논현,16,80.4,449.0,15.0,0.9,14928.0,1,50.53612966487859,3
202,과잉,반포,14,77.9,503.0,12.7,0.9,6641.0,1,47.76147622618292,3
204,부족,내방,14,87.5,519.0,7.0,1.0,11586.0,2,54.28208455903559,1
205,심각한 부족,남성,14,71.6,531.0,16.5,0.9,12850.0,1,44.93650497010247,0
206,과잉,숭실대입구,14,77.4,483.0,14.5,0.7,13870.0,1,48.57339485877988,3
207,과잉,상도,14,75.7,453.0,13.0,0.9,12053.0,1,47.273915517871224,3
208,심각한 부족,장승배기,14,73.8,418.0,19.5,0.9,13086.0,1,46.29280498356116,0
209,과잉,신대방삼거리,14,79.5,403.0,17.5,0.8,17925.0,1,50.45710907308069,3
210,심각한 부족,보라매,14,72.2,410.0,14.5,0.5,8407.0,1,44.61311107265771,0
211,심각한 부족,신풍,18,71.4,398.0,20.0,1.0,16075.0,1,45.31255388283248,0
212,심각한 과잉,대림,14,87.1,507.0,13.5,0.8,79538.0,2,64.49402741727711,4
213,부족,남구로,14,88.3,461.0,13.5,1.1,22041.0,2,56.370205917978886,1
214,부족,가산디지털단지,16,77.1,491.0,25.3,0.8,41030.0,1,52.57097267885639,1
215,과잉,철산,14,72.9,479.0,13.5,0.6,29191.0,1,48.22997327488416,3
216,심각한 과잉,광명사거리,16,92.9,503.0,20.0,1.4,36911.0,2,61.417414393109155,4
217,과잉,천왕,14,78.8,413.0,16.3,0.5,9573.0,1,48.752457749322254,3
218,심각한 부족,온수,20,72.2,400.0,29.7,0.2,19067.0,1,46.252764222952834,0
219,부족,암사,14,82.9,457.0,16.0,1.2,21298.0,1,53.01592240103055,1
221,과잉,강동구청,14,77.7,489.0,12.0,1.2,12153.0,1,48.489296879506256,3
222,부족,몽촌토성,14,85.5,749.0,19.0,0.9,12483.0,2,53.22005537290188,1
224,부족,석촌,18,92.0,702.0,23.5,1.0,15512.0,2,57.585956816827206,1
225,과잉,송파,14,84.1,445.0,20.0,0.7,6184.0,1,51.41118340351079,3
227,부족,문정,18,84.6,520.0,24.0,1.1,8729.0,1,52.10263905712253,1
228,부족,장지,14,82.8,588.0,22.0,1.1,27210.0,1,53.86526850089404,1
229,부족,복정,18,85.3,546.0,23.0,0.9,13443.0,2,53.24771644459826,1
230,과잉,산성,16,77.5,391.0,25.0,0.7,7713.0,1,47.686364422910536,3
231,과잉,남한산성입구,14,75.1,530.0,23.0,0.9,15118.0,1,47.38535425198515,3
232,심각한 부족,단대오거리,14,69.8,450.0,21.0,0.8,13931.0,0,44.02277748937724,0
233,과잉,신흥,14,82.1,514.0,23.0,0.6,7802.0,1,50.46005383476572,3
234,과잉,수진,14,75.8,512.0,30.5,1.0,8433.0,1,46.777110226682815,3
235,과잉,모란,16,77.2,482.0,11.0,0.7,35348.0,1,51.757003710753494,3
