고유역번호(외부역코드),역명,위도,경도,미세먼지,초미세먼지,이산화탄소,폼알데하이드,일산화탄소,총 승객수
2623,망원,37.556031,126.910129,39.9,24.4,531.0,7.1,0.7,24205.0
2624,합정,37.549033,126.913546,42.1,21.2,579.0,6.7,0.4,75414.0
2625,상수,37.547704,126.92292,42.0,20.8,499.0,5.7,0.3,19355.0
2626,광흥창,37.547464,126.931971,33.5,20.0,464.0,7.0,0.3,9152.0
2627,대흥,37.547732,126.942214,34.0,21.2,491.0,7.8,0.6,10621.0
2628,공덕,37.543592,126.951664,28.5,13.3,503.0,5.9,0.6,38821.0
2629,효창공원앞,37.539279,126.961348,37.2,18.4,515.0,11.4,0.4,10751.0
2630,삼각지,37.535563,126.973996,45.2,23.1,583.0,7.8,0.7,17137.0
2631,녹사평,37.53469,126.98665,32.6,17.6,477.0,9.6,0.5,8737.0
2632,이태원,37.534485,126.994369,31.3,18.7,541.0,7.5,0.3,23621.0
2633,한강진,37.53956,127.001729,39.0,21.5,493.0,9.3,0.3,18635.0
2634,버티고개,37.547933,127.006948,45.4,18.2,505.0,7.3,0.6,2653.0
2635,약수,37.554087,127.010237,37.1,21.0,581.0,5.9,0.7,21076.0
2636,청구,37.560221,127.013776,39.8,25.1,488.0,10.9,0.3,8915.0
2637,신당,37.566174,127.016158,27.4,18.5,557.0,10.7,0.8,32109.0
2638,동묘앞,37.572275,127.015666,40.6,24.5,592.0,12.7,0.5,35584.0
2639,창신,37.579772,127.015246,34.1,24.3,485.0,8.6,0.4,3666.0
2640,보문,37.585293,127.019377,44.3,25.3,510.0,10.5,0.3,11224.0
2641,안암,37.586261,127.02903,40.3,19.7,553.0,9.8,0.9,10392.0
2642,고려대,37.59034,127.03626,30.0,18.4,492.0,19.6,0.7,9542.0
2643,월곡,37.60192,127.041492,39.6,19.0,485.0,5.8,0.3,13074.0
2644,상월곡,37.606392,127.048509,25.9,13.7,463.0,4.6,0.5,7002.0
2645,돌곶이,37.610522,127.056419,29.7,14.2,486.0,4.0,0.4,11741.0
2646,석계,37.614937,127.065922,30.4,15.9,545.0,4.8,0.5,28451.0
2647,태릉입구,37.617319,127.074741,28.6,16.5,479.0,6.2,0.3,19317.0
2648,화랑대,37.619875,127.084106,28.7,14.2,496.0,7.4,0.5,10883.0
2615,봉화산,37.617293,127.091375,33.6,16.0,470.0,7.0,0.4,9434.0
2713,수락산,37.677804,127.055314,37.0,19.5,502.0,10.0,0.4,17847.0
2714,마들,37.664985,127.057701,27.8,15.2,555.0,10.1,0.6,16277.0
2715,노원,37.654478,127.060555,41.4,24.5,527.0,9.0,0.6,65274.0
2716,중계,37.645052,127.064084,32.4,18.4,509.0,8.4,0.5,16012.0
2717,하계,37.636363,127.067999,35.2,18.9,561.0,9.5,0.5,21652.0
2718,공릉,37.625642,127.072969,37.9,22.9,543.0,8.7,0.7,15406.0
2719,태릉입구,37.617319,127.074741,33.1,16.6,487.0,10.4,0.5,19317.0
2720,먹골,37.610638,127.077719,31.5,16.2,463.0,8.5,0.4,14107.0
2721,중화,37.602604,127.079254,30.6,14.7,536.0,10.0,0.6,13529.0
2722,상봉,37.595673,127.085708,34.6,24.2,576.0,11.1,0.6,33358.0
2723,면목,37.588671,127.087503,27.0,18.1,765.0,6.8,0.4,19932.0
2724,사가정,37.580912,127.088502,37.7,18.8,666.0,7.3,0.4,22238.0
2725,용마산,37.573752,127.086802,36.5,16.8,479.0,8.0,0.4,7470.0
2726,중곡,37.565877,127.084291,30.7,19.4,500.0,6.7,0.4,12711.0
2727,군자,37.557151,127.079484,40.3,19.8,514.0,6.3,0.4,34436.0
2728,어린이대공원,37.547962,127.07465,26.4,13.1,693.0,8.9,0.4,17178.0
2729,건대입구,37.540882,127.071103,29.7,13.6,544.0,12.6,0.6,90221.0
2731,청담,37.519097,127.051851,24.6,15.4,583.0,10.6,0.6,17726.0
2732,강남구청,37.517185,127.04122,26.5,18.4,622.0,10.3,0.4,23427.0
2733,학동,37.514262,127.031738,34.3,19.7,724.0,12.3,0.4,16048.0
2734,논현,37.511108,127.021385,30.3,17.9,561.0,11.7,0.5,16624.0
2735,반포,37.508171,127.011717,27.7,12.7,734.0,11.6,0.5,8154.0
2736,고속터미널,37.503387,127.005055,42.5,25.6,692.0,18.8,0.5,146449.0
2737,내방,37.48764,126.993541,40.1,21.3,491.0,11.6,0.4,13826.0
2739,남성,37.484688,126.971108,48.6,20.6,690.0,14.2,0.4,13611.0
2740,숭실대입구,37.496258,126.953649,42.1,25.1,713.0,12.3,0.5,13928.0
2741,상도,37.50279,126.947949,50.9,29.9,550.0,15.5,0.6,13275.0
2742,장승배기,37.504845,126.939025,45.9,28.6,540.0,17.9,0.8,11537.0
2743,신대방삼거리,37.499717,126.928218,28.8,19.1,540.0,14.7,0.6,18799.0
2744,보라매,37.499916,126.920112,40.9,24.1,528.0,15.5,0.5,12467.0
2745,신풍,37.500107,126.909806,31.2,16.2,716.0,10.0,0.4,14119.0
2746,대림,37.492984,126.896997,27.5,16.5,859.0,11.4,0.5,53793.0
2747,남구로,37.486181,126.887372,27.5,14.1,636.0,16.2,0.7,16503.0
2748,가산디지털단지,37.480376,126.882704,29.3,15.3,672.0,16.9,0.5,37006.0
2749,철산,37.47616,126.868217,29.2,13.9,546.0,14.1,0.4,27184.0
2750,광명사거리,37.47927,126.854854,36.2,18.4,535.0,14.1,0.4,32547.0
2751,천왕,37.486699,126.838684,47.8,23.8,525.0,7.2,0.5,12323.0
2752,온수,37.492059,126.823294,30.9,17.4,516.0,15.6,0.3,18490.0
2811,암사,37.550127,127.127521,39.1,18.0,731.0,16.4,0.4,22132.0
2812,천호,37.53792,127.123179,27.3,13.5,574.0,18.8,0.5,55150.0
2813,강동구청,37.530348,127.120461,28.2,13.7,587.0,17.8,0.5,11473.0
2814,몽촌토성,37.517692,127.11274,55.2,33.1,493.0,12.4,0.5,7868.0
2815,잠실,37.514649,127.104267,33.5,16.2,885.0,11.1,0.3,171903.0
2816,석촌,37.505396,127.106995,47.8,22.7,542.0,16.0,0.4,24512.0
2817,송파,37.49978,127.11212,33.6,17.3,738.0,13.1,0.3,11170.0
2818,가락시장,37.493004,127.118279,27.1,12.5,712.0,12.3,0.5,22177.0
2819,문정,37.485931,127.122473,38.6,24.0,559.0,14.2,0.5,12079.0
2820,장지,37.478609,127.126229,29.8,18.0,502.0,22.7,0.4,22264.0
2821,복정,37.471016,127.126746,24.4,11.7,541.0,16.3,0.5,9922.0
2822,산성,37.456886,127.149927,28.5,18.5,674.0,6.1,0.4,6967.0
2823,남한산성입구,37.451568,127.159845,24.7,15.0,693.0,3.5,0.6,15721.0
2824,단대오거리,37.445057,127.156735,26.2,19.0,469.0,9.2,0.4,14767.0
2825,신흥,37.440952,127.14759,38.2,19.2,511.0,20.2,0.8,7900.0
2826,수진,37.437575,127.140936,27.8,16.8,403.0,11.5,0.6,7442.0
2827,모란,37.433888,127.129921,24.2,12.0,398.0,11.1,0.5,36047.0
