index,역명,미세먼지,이산화탄소,폼알데하이드,일산화탄소,총 승객수,연도
85.0,회현,89.4,433.0,15.5,0.9,58180.0,8123
86.0,서울,101.7,540.0,14.7,1.0,194273.0,8123
87.0,숙대입구,92.5,432.0,12.0,0.9,31204.0,8123
88.0,삼각지,86.0,488.0,7.8,1.0,20786.0,8123
89.0,신용산,83.7,432.0,10.0,1.3,33391.0,8123
90.0,이촌,84.2,429.0,8.9,0.9,30960.0,8123
91.0,총신대입구,96.8,547.0,9.2,1.1,45800.0,8123
92.0,사당,89.9,585.0,9.8,1.0,132652.0,8123
93.0,남태령,91.4,448.0,4.9,0.8,2568.0,8123
94.0,방화,69.5,525.0,7.7,1.0,14318.0,8123
95.0,개화산,60.2,528.0,8.2,1.2,11530.0,8123
96.0,김포공항,78.5,576.0,9.6,1.3,55279.0,8123
97.0,송정,65.0,518.0,6.2,1.4,17964.0,8123
98.0,마곡,76.4,506.0,9.3,1.2,11604.0,8123
99.0,발산,85.3,522.0,6.1,1.3,31555.0,8123
100.0,우장산,76.3,533.0,8.1,0.9,30343.0,8123
101.0,화곡,70.3,499.0,7.2,1.1,58688.0,8123
102.0,까치산,69.1,552.0,7.0,1.3,60327.0,8123
103.0,신정,68.9,534.0,5.9,1.3,25697.0,8123
104.0,목동,63.9,504.0,5.3,1.1,37278.0,8123
105.0,오목교,66.9,625.0,7.0,1.3,53093.0,8123
106.0,양평,69.2,481.0,4.9,1.1,19939.0,8123
107.0,영등포구청,74.8,622.0,6.2,1.5,51609.0,8123
108.0,영등포시장,73.1,536.0,5.7,1.4,20274.0,8123
109.0,신길,82.9,660.0,6.9,1.3,24109.0,8123
110.0,여의도,73.7,876.0,8.3,1.4,88536.0,8123
111.0,여의나루,66.7,485.0,5.5,1.3,14100.0,8123
112.0,마포,72.7,540.0,6.1,1.4,27402.0,8123
113.0,공덕,84.1,670.0,6.3,1.5,76183.0,8123
114.0,애오개,83.1,589.0,5.0,1.7,14337.0,8123
115.0,충정로,70.3,504.0,4.6,1.1,30482.0,8123
116.0,서대문,76.9,543.0,5.0,1.3,37330.0,8123
117.0,광화문,80.4,662.0,12.0,1.6,84053.0,8123
118.0,동대문역사문화공원,95.1,543.0,9.1,1.5,94342.0,8123
119.0,청구,74.6,593.0,12.3,1.6,14680.0,8123
120.0,신금호,65.0,581.0,10.5,1.9,12942.0,8123
121.0,행당,75.1,601.0,9.4,1.9,15938.0,8123
122.0,왕십리,84.6,669.0,10.1,1.8,86156.0,8123
123.0,마장,66.0,572.0,8.6,1.3,13076.0,8123
124.0,답십리,68.4,548.0,5.4,1.5,32106.0,8123
125.0,장한평,85.5,550.0,4.2,1.7,36003.0,8123
126.0,군자,84.1,695.0,6.4,2.1,49825.0,8123
127.0,아차산,61.8,585.0,5.6,2.0,28696.0,8123
128.0,광나루,71.4,606.0,4.2,2.0,25159.0,8123
129.0,천호,79.0,556.0,5.9,1.6,85280.0,8123
130.0,강동,89.5,565.0,4.4,1.8,35788.0,8123
131.0,길동,67.6,583.0,6.4,2.3,16360.0,8123
132.0,굽은다리,77.4,555.0,6.8,2.6,19303.0,8123
133.0,명일,70.6,573.0,6.8,2.6,16311.0,8123
134.0,고덕,78.9,533.0,4.3,1.9,18900.0,8123
135.0,상일동,69.4,562.0,3.9,1.9,20368.0,8123
136.0,둔촌동,88.4,519.0,5.8,2.1,18397.0,8123
137.0,올림픽공원,82.1,492.0,7.8,2.3,28855.0,8123
138.0,방이,57.9,507.0,6.7,2.4,14118.0,8123
139.0,오금,85.8,577.0,7.7,2.5,18194.0,8123
140.0,개롱,83.6,511.0,3.6,2.3,13132.0,8123
141.0,거여,80.4,514.0,3.5,2.4,14316.0,8123
142.0,마천,60.5,473.0,2.8,2.3,10415.0,8123
143.0,응암,63.4,640.0,5.2,1.6,36180.0,8123
144.0,역촌,61.9,539.0,3.0,1.4,8658.0,8123
145.0,불광,86.7,603.0,2.7,1.0,51856.0,8123
146.0,독바위,64.0,506.0,1.5,1.2,5715.0,8123
147.0,연신내,82.5,649.0,2.6,1.5,85974.0,8123
148.0,구산,67.0,613.0,1.1,1.4,13909.0,8123
149.0,새절,70.3,612.0,3.6,1.0,25406.0,8123
150.0,증산,57.9,562.0,2.1,0.9,20403.0,8123
151.0,디지털미디어시티,90.1,513.0,2.0,0.9,52550.0,8123
152.0,월드컵경기장,66.5,520.0,0.4,1.0,12636.0,8123
153.0,마포구청,78.7,683.0,2.1,1.5,27116.0,8123
154.0,망원,75.2,630.0,2.2,1.7,29259.0,8123
155.0,합정,87.4,656.0,6.2,1.1,102172.0,8123
156.0,상수,78.8,586.0,1.8,1.3,23745.0,8123
157.0,광흥창,93.0,571.0,1.1,1.1,18431.0,8123
158.0,대흥,89.8,594.0,3.3,1.5,16389.0,8123
159.0,공덕,92.0,656.0,4.4,1.5,76183.0,8123
160.0,효창공원앞,60.5,570.0,4.8,1.6,18271.0,8123
161.0,삼각지,89.6,648.0,2.4,1.3,20786.0,8123
162.0,녹사평,69.4,492.0,0.6,0.9,12970.0,8123
163.0,이태원,78.9,639.0,3.4,1.7,51632.0,8123
164.0,한강진,84.8,557.0,1.9,1.1,15660.0,8123
165.0,버티고개,66.8,494.0,0.9,1.3,4520.0,8123
166.0,약수,78.2,627.0,2.7,1.5,35596.0,8123
167.0,청구,78.4,580.0,2.0,1.6,14680.0,8123
168.0,신당,89.8,574.0,2.3,1.5,46185.0,8123
169.0,동묘앞,78.7,575.0,9.5,1.6,38380.0,8123
170.0,창신,91.2,524.0,8.7,2.3,6500.0,8123
171.0,보문,92.4,668.0,6.9,1.8,17250.0,8123
172.0,안암,81.7,615.0,12.6,1.6,26496.0,8123
173.0,고려대,59.6,579.0,10.5,1.7,18544.0,8123
174.0,월곡,71.4,541.0,11.3,1.2,23993.0,8123
175.0,상월곡,78.0,512.0,7.5,1.8,10775.0,8123
176.0,돌곶이,86.5,571.0,10.6,1.9,15996.0,8123
177.0,석계,85.3,717.0,11.5,1.6,46138.0,8123
178.0,태릉입구,92.3,550.0,7.5,1.2,26663.0,8123
179.0,화랑대,76.3,529.0,7.7,1.0,21017.0,8123
180.0,봉화산,71.8,520.0,8.8,1.3,18982.0,8123
181.0,수락산,84.6,543.0,8.6,1.1,26759.0,8123
182.0,마들,81.9,532.0,7.4,0.9,23405.0,8123
183.0,노원,82.6,662.0,11.7,1.5,101475.0,8123
184.0,중계,78.2,558.0,9.5,1.3,28847.0,8123
185.0,하계,77.1,699.0,9.8,1.6,37750.0,8123
186.0,공릉,86.3,629.0,7.9,1.0,24105.0,8123
187.0,태릉입구,86.0,573.0,11.8,1.0,26663.0,8123
188.0,먹골,81.7,548.0,9.8,1.2,21162.0,8123
189.0,중화,76.3,552.0,9.5,1.4,22899.0,8123
190.0,상봉,85.0,675.0,9.3,1.8,46701.0,8123
191.0,면목,90.1,616.0,8.4,1.2,30356.0,8123
192.0,사가정,93.2,550.0,9.1,1.0,32219.0,8123
193.0,용마산,79.8,565.0,9.8,1.2,11893.0,8123
194.0,중곡,86.0,512.0,10.1,1.3,19604.0,8123
195.0,군자,84.0,689.0,13.0,1.4,49825.0,8123
196.0,어린이대공원,77.1,627.0,10.3,1.6,25450.0,8123
197.0,건대입구,76.3,669.0,11.7,1.4,137453.0,8123
198.0,청담,79.2,660.0,15.3,1.5,39900.0,8123
199.0,강남구청,80.7,636.0,13.0,1.7,45180.0,8123
200.0,학동,80.5,603.0,18.1,1.5,37385.0,8123
201.0,논현,81.3,693.0,10.6,1.4,37126.0,8123
202.0,반포,84.0,619.0,9.5,1.2,12448.0,8123
203.0,고속터미널,86.8,677.0,8.6,1.0,201646.0,8123
204.0,내방,90.0,639.0,6.1,1.5,26717.0,8123
205.0,남성,78.0,537.0,3.4,1.3,21987.0,8123
206.0,숭실대입구,82.1,627.0,6.8,1.1,25146.0,8123
207.0,상도,79.4,595.0,6.0,1.1,20120.0,8123
208.0,장승배기,76.6,572.0,6.1,1.0,21954.0,8123
209.0,신대방삼거리,80.7,608.0,8.0,1.2,32449.0,8123
210.0,보라매,85.7,562.0,6.2,1.3,17284.0,8123
211.0,신풍,80.8,664.0,7.7,1.3,21450.0,8123
212.0,대림,94.4,713.0,7.7,1.1,84924.0,8123
213.0,남구로,90.4,628.0,11.0,1.2,32998.0,8123
214.0,가산디지털단지,86.2,608.0,14.2,1.4,100628.0,8123
215.0,철산,84.6,537.0,14.8,1.5,47812.0,8123
216.0,광명사거리,87.7,571.0,6.7,1.6,53885.0,8123
217.0,천왕,81.4,552.0,4.1,1.0,16995.0,8123
218.0,온수,76.8,547.0,7.7,1.1,31768.0,8123
