,Unnamed: 0,역명,설치대수,미세먼지,이산화탄소,폼알데하이드,일산화탄소,총 승객수,연도,오염_등급,오염_점수,공기청정기_군집,공기청정기_효용_상태
110,10,동대문역사문화공원,14,95.1,543.0,9.1,1.5,94342.0,8123,2,71.57108419372824,2,적합
111,10,동대문역사문화공원,14,89.9,572.0,7.9,1.3,105102.0,9123,2,70.10611870565842,2,적합
112,10,동대문역사문화공원,14,86.3,591.0,10.4,0.7,105102.0,9123,2,67.94611870565842,2,적합
113,10,동대문역사문화공원,14,94.5,536.0,17.8,1.3,105102.0,9123,2,72.86611870565841,2,적합
114,10,동대문역사문화공원,14,51.2,464.0,3.2,0.6,41061.0,123,0,37.035740900963255,2,적합
115,10,동대문역사문화공원,14,63.2,467.0,12.0,1.3,41061.0,123,0,44.23574090096326,2,적합
116,10,동대문역사문화공원,14,52.9,606.0,7.1,0.8,41061.0,123,0,38.05574090096326,2,적합
117,10,동대문역사문화공원,14,64.3,853.0,5.6,1.0,56775.0,1123,0,47.312768068293245,2,적합
118,10,동대문역사문화공원,14,47.4,601.0,9.1,0.3,56775.0,1123,0,37.172768068293244,2,적합
119,10,동대문역사문화공원,14,39.3,439.5,6.3,0.8,56775.0,1123,0,32.312768068293245,2,적합
120,10,동대문역사문화공원,14,39.0,527.0,9.5,0.7,62298.0,2123,0,32.98228067139644,2,적합
121,10,동대문역사문화공원,14,39.5,502.0,10.9,0.7,62298.0,2123,0,33.282280671396435,2,적합
122,10,동대문역사문화공원,14,32.7,350.0,8.5,0.5,62298.0,2123,0,29.202280671396437,2,적합
123,10,동대문역사문화공원,14,0.0,"18    302.589422
dtype: float64","18    9.050272
dtype: float64","18    0.694578
dtype: float64",0.0,2023,0,0.0,2,적합
124,11,신당,14,68.7,526.0,21.7,0.5,30617.0,7123,0,45.92931149179981,2,적합
125,11,신당,14,68.9,515.0,34.3,1.2,30617.0,7123,0,46.04931149179981,2,적합
126,11,신당,14,84.0,581.0,7.1,1.6,46185.0,8123,1,57.50388187114264,2,적합
127,11,신당,14,89.8,574.0,2.3,1.5,46185.0,8123,2,60.98388187114264,2,적합
128,11,신당,14,95.8,563.0,7.5,1.1,49469.0,9123,2,65.08900578723731,2,적합
129,11,신당,14,67.9,496.0,26.6,1.3,49469.0,9123,0,48.34900578723732,2,적합
130,11,신당,14,52.2,493.0,5.8,0.5,30753.0,123,0,36.050230143623466,2,적합
131,11,신당,14,40.5,617.0,15.5,1.1,30753.0,123,0,29.030230143623466,2,적합
132,11,신당,14,47.3,894.0,6.5,0.6,40264.0,1123,0,34.573151448732,2,적합
133,11,신당,14,47.3,552.7,9.5,0.8,40264.0,1123,0,34.573151448732,2,적합
134,11,신당,14,45.6,483.0,10.0,1.0,32109.0,2123,0,32.29880140739459,2,적합
135,11,신당,14,27.4,557.0,10.7,0.8,32109.0,2123,0,21.378801407394587,2,적합
136,11,신당,14,0.0,"12    566.445907
dtype: float64","12    12.459604
dtype: float64","12    0.889685
dtype: float64",0.0,2023,0,0.0,2,적합
137,12,상왕십리,14,82.8,465.0,31.0,0.8,15563.0,7123,1,52.07380131126108,2,적합
138,12,상왕십리,14,99.6,501.0,9.9,1.7,28121.0,8123,2,64.08539270538924,2,적합
139,12,상왕십리,14,82.0,477.0,10.6,0.8,30075.0,9123,1,53.825944511737895,2,적합
140,12,상왕십리,14,50.5,562.0,4.9,0.7,19694.0,123,0,33.32920536040453,2,적합
141,12,상왕십리,14,43.8,814.0,8.2,0.6,24649.0,1123,0,30.0713518294207,2,적합
142,12,상왕십리,14,59.3,466.0,8.3,0.6,16977.0,2123,0,38.191293764780525,2,적합
143,12,상왕십리,14,0.0,"6    465.999866
dtype: float64","6    8.220006
dtype: float64","6    0.6
dtype: float64",0.0,2023,0,0.0,2,적합
144,13,왕십리,18,87.1,489.0,27.0,0.7,58964.0,7123,2,61.329466074484245,3,과잉
145,13,왕십리,18,70.4,477.0,36.3,0.5,58964.0,7123,1,51.30946607448425,3,과잉
146,13,왕십리,18,66.1,536.0,12.2,1.2,86156.0,8123,0,52.911965930283976,3,과잉
147,13,왕십리,18,84.6,669.0,10.1,1.8,86156.0,8123,1,64.01196593028398,3,과잉
148,13,왕십리,18,85.9,562.0,16.0,0.6,85687.0,9123,2,64.71982734421564,3,과잉
149,13,왕십리,18,88.0,561.0,15.2,1.2,85687.0,9123,2,65.97982734421565,3,과잉
150,13,왕십리,18,45.9,602.0,7.5,0.7,48556.0,123,0,35.00857395550941,3,과잉
151,13,왕십리,18,44.8,695.0,8.2,0.7,48556.0,123,0,34.34857395550941,3,과잉
152,13,왕십리,18,37.1,809.0,7.7,0.3,65207.0,1123,0,32.28972448135971,3,과잉
153,13,왕십리,18,72.9,461.7,6.9,0.8,65207.0,1123,1,53.76972448135972,3,과잉
154,13,왕십리,18,35.1,490.0,8.8,0.6,55575.0,2123,0,29.60819172867278,3,과잉
155,13,왕십리,18,27.6,507.0,7.9,0.5,55575.0,2123,0,25.10819172867278,3,과잉
156,13,왕십리,18,0.0,"12    544.604585
dtype: float64","12    8.037043
dtype: float64","12    0.681359
dtype: float64",0.0,2023,0,0.0,3,과잉
157,14,잠실,26,76.2,668.0,27.3,0.6,260055.0,7123,1,85.72,1,부족
158,14,잠실,26,76.9,666.0,23.3,0.9,260055.0,7123,1,86.14,1,부족
159,14,잠실,26,79.3,707.0,16.4,1.2,238075.0,8123,1,84.19917671261848,1,부족
160,14,잠실,26,81.5,755.0,10.2,1.4,238075.0,8123,1,85.51917671261849,1,부족
161,14,잠실,26,88.5,667.0,15.8,0.8,256037.0,9123,2,92.48197688950415,1,부족
162,14,잠실,26,73.0,673.0,14.5,1.0,256037.0,9123,1,83.18197688950414,1,부족
163,14,잠실,26,62.4,510.0,7.4,0.7,114057.0,123,0,54.98351964007614,1,부족
164,14,잠실,26,32.3,608.0,10.7,0.7,114057.0,123,0,36.92351964007614,1,부족
165,14,잠실,26,70.4,554.0,8.8,0.9,169205.0,1123,1,68.26603295456731,1,부족
166,14,잠실,26,24.8,634.7,10.0,1.0,169205.0,1123,0,40.9060329545673,1,부족
167,14,잠실,26,35.3,546.0,7.0,0.6,171903.0,2123,0,47.62102209148064,1,부족
168,14,잠실,26,33.5,885.0,11.1,0.3,171903.0,2123,0,46.54102209148064,1,부족
169,14,잠실,26,0.0,"12    708.914827
dtype: float64","12    10.880326
dtype: float64","12    0.469318
dtype: float64",0.0,2023,0,0.0,1,부족
170,15,잠실새내,16,88.8,447.0,31.0,0.6,43154.0,7123,2,59.917672799984615,0,심각한 부족
171,15,잠실새내,16,84.4,512.0,12.4,1.3,54556.0,8123,1,59.03145565361174,0,심각한 부족
172,15,잠실새내,16,132.5,439.0,5.3,0.6,28747.0,123,3,83.92168002922459,0,심각한 부족
173,15,잠실새내,16,34.9,825.0,6.2,0.3,39254.0,1123,0,26.977799696218106,0,심각한 부족
174,15,잠실새내,16,34.1,439.0,5.4,0.5,33795.0,2123,0,25.658131164561343,0,심각한 부족
175,15,잠실새내,16,0.0,"5    717.531867
dtype: float64","5    3.279178
dtype: float64","5    0.6171
dtype: float64",0.0,2023,0,0.0,0,심각한 부족
176,16,종합운동장,28,82.2,463.0,11.3,0.5,35906.0,7123,1,54.84283170867701,1,부족
177,16,종합운동장,28,77.3,462.0,4.9,0.9,24902.0,8123,1,50.21026667435734,1,부족
178,16,종합운동장,28,86.6,500.0,3.3,0.4,24902.0,8123,2,55.79026667435734,1,부족
179,16,종합운동장,28,97.0,453.0,13.2,0.5,27613.0,9123,2,62.447255388283246,1,부족
180,16,종합운동장,28,51.4,591.0,3.9,0.3,14339.0,123,0,33.0455334448482,1,부족
181,16,종합운동장,28,62.3,439.0,10.9,0.8,21322.0,1123,0,40.65961392782296,1,부족
182,16,종합운동장,28,24.4,451.0,6.6,0.7,26047.0,2123,0,18.64638326507854,1,부족
183,16,종합운동장,28,43.2,458.0,5.7,2.1,26047.0,2123,0,29.92638326507854,1,부족
184,16,종합운동장,28,0.0,"8    483.007418
dtype: float64","8    8.299414
dtype: float64","8    1.705553
dtype: float64",0.0,2023,0,0.0,1,부족
185,17,삼성,14,77.0,604.0,8.0,0.6,106691.0,7123,1,62.61052854203918,2,적합
186,17,삼성,14,74.3,600.0,7.3,1.2,159643.0,8123,1,69.1352671550249,2,적합
187,17,삼성,14,92.2,520.0,17.2,0.5,160059.0,9123,2,79.93925361942667,2,적합
188,17,삼성,14,59.2,582.0,5.4,0.9,65077.0,123,0,45.52972871123417,2,적합
189,17,삼성,14,78.5,664.0,9.3,0.7,86764.0,1123,1,60.445484609025016,2,적합
190,17,삼성,14,25.7,495.0,6.5,0.7,62714.0,2123,0,25.066267135798196,2,적합
191,17,삼성,14,0.0,"6    616.507574
dtype: float64","6    10.038691
dtype: float64","6    0.772959
dtype: float64",0.0,2023,0,0.0,2,적합
192,18,선릉,16,82.0,667.0,12.5,0.6,35697.0,7123,1,54.69068466285977,0,심각한 부족
193,18,선릉,16,87.1,729.0,8.5,1.2,124246.0,8123,2,71.37072657707023,0,심각한 부족
194,18,선릉,16,92.9,580.0,16.5,1.0,138877.0,9123,2,77.10117359789275,0,심각한 부족
195,18,선릉,16,82.8,483.0,5.5,0.7,90833.0,123,1,63.65135221395474,0,심각한 부족
196,18,선릉,16,78.6,637.0,7.7,0.9,106914.0,1123,1,63.604828978485315,0,심각한 부족
197,18,선릉,16,46.8,513.0,8.0,0.9,46262.0,2123,0,35.19572551960162,0,심각한 부족
198,18,선릉,16,0.0,"6    636.907835
dtype: float64","6    8.160553
dtype: float64","6    0.892338
dtype: float64",0.0,2023,0,0.0,0,심각한 부족
199,19,역삼,14,87.7,584.0,32.5,0.6,26963.0,7123,2,56.76727653765549,2,적합
200,19,역삼,14,87.8,589.0,8.7,1.5,88327.0,8123,2,66.26589529138067,2,적합
201,19,역삼,14,81.6,584.0,18.0,1.1,103940.0,9123,1,64.94738728345926,2,적합
202,19,역삼,14,57.5,534.0,7.4,0.7,65855.0,123,0,44.629395704754764,2,적합
203,19,역삼,14,64.5,659.0,8.8,0.9,80766.0,1123,0,51.12291053815539,2,적합
204,19,역삼,14,25.4,524.0,8.9,1.0,31342.0,2123,0,20.06082636365384,2,적합
205,19,역삼,14,0.0,"6    629.194262
dtype: float64","6    8.967706
dtype: float64","6    0.970775
dtype: float64",0.0,2023,0,0.0,2,적합
206,20,강남,20,91.7,685.0,34.0,0.7,113425.0,7123,2,72.4663094345427,3,과잉
207,20,강남,20,86.7,783.0,17.2,1.5,203667.0,8123,2,83.34675780123436,3,과잉
208,20,강남,20,78.2,736.0,24.3,1.0,210773.0,9123,1,79.33975735902021,3,과잉
209,20,강남,20,41.2,698.0,5.0,1.2,106889.0,123,0,41.16098363807656,3,과잉
210,20,강남,20,49.9,826.0,11.0,1.0,142726.0,1123,0,51.89320220722539,3,과잉
211,20,강남,20,32.9,610.0,12.2,0.8,94064.0,2123,0,34.208324008382846,3,과잉
212,20,강남,20,0.0,"6    845.687279
dtype: float64","6    14.486424
dtype: float64","6    1.094502
dtype: float64",0.0,2023,0,0.0,3,과잉
213,21,교대,20,92.9,602.0,29.0,0.8,34157.0,7123,2,60.993811693680186,3,과잉
214,21,교대,20,93.8,660.0,10.0,1.6,89374.0,8123,2,70.02693814769952,3,과잉
215,21,교대,20,76.8,705.0,10.7,0.9,89374.0,8123,1,59.82693814769952,3,과잉
216,21,교대,20,83.4,639.0,17.8,0.6,96780.0,9123,1,64.9260817903905,3,과잉
217,21,교대,20,90.9,621.0,6.8,0.9,96780.0,9123,2,69.4260817903905,3,과잉
218,21,교대,20,33.4,527.0,7.4,1.2,62184.0,123,0,29.60474591913249,3,과잉
219,21,교대,20,58.5,656.0,8.3,3.8,62184.0,123,0,44.66474591913249,3,과잉
220,21,교대,20,37.5,555.0,6.9,0.5,75165.0,1123,0,34.06140047297687,3,과잉
221,21,교대,20,69.0,532.0,3.9,0.5,75165.0,1123,0,52.96140047297687,3,과잉
222,21,교대,20,36.1,505.0,9.3,1.1,38886.0,2123,0,27.641196285401165,3,과잉
223,21,교대,20,34.2,504.0,8.5,0.8,38886.0,2123,0,26.501196285401164,3,과잉
224,21,교대,20,0.0,"11    509.394336
dtype: float64","11    6.691773
dtype: float64","11    1.170944
dtype: float64",0.0,2023,0,0.0,3,과잉
225,22,서초,16,92.4,538.0,19.5,0.7,36228.0,7123,2,61.01235969314184,0,심각한 부족
226,22,서초,16,87.2,510.0,7.3,1.0,47451.0,8123,2,59.618609909442235,0,심각한 부족
227,22,서초,16,92.8,479.0,14.9,0.5,50424.0,9123,2,63.43589779085194,0,심각한 부족
228,22,서초,16,54.6,555.0,6.1,0.9,28035.0,123,0,37.07216473438311,0,심각한 부족
229,22,서초,16,58.9,552.0,5.8,0.2,35264.0,1123,0,40.76408336698006,0,심각한 부족
230,22,서초,16,50.1,467.0,9.2,1.0,18059.0,2123,0,32.83772009767164,0,심각한 부족
231,22,서초,16,0.0,"6    466.999939
dtype: float64","6    6.423478
dtype: float64","6    0.247552
dtype: float64",0.0,2023,0,0.0,0,심각한 부족
232,23,방배,14,89.4,507.0,27.5,0.6,18955.0,7123,2,56.555537097921594,2,적합
233,23,방배,14,78.7,508.0,8.4,1.3,33629.0,8123,1,52.39259810424718,2,적합
234,23,방배,14,93.3,513.0,15.3,0.6,36401.0,9123,2,61.57896944877045,2,적합
235,23,방배,14,38.5,483.0,2.8,0.6,22195.0,123,0,26.513893214896846,2,적합
236,23,방배,14,38.2,445.0,2.0,0.5,26274.0,1123,0,26.96129895599008,2,적합
237,23,방배,14,47.0,510.0,10.7,0.9,16730.0,2123,0,30.773301801541983,2,적합
238,23,방배,14,0.0,"6    510.000024
dtype: float64","6    10.700164
dtype: float64","6    0.725545
dtype: float64",0.0,2023,0,0.0,2,적합
239,24,사당,30,92.4,496.0,36.3,0.5,89078.0,7123,2,69.14140931725981,1,부족
240,24,사당,30,92.0,588.0,8.0,1.1,132652.0,8123,2,75.60368383611159,1,부족
241,24,사당,30,89.9,585.0,9.8,1.0,132652.0,8123,2,74.3436838361116,1,부족
242,24,사당,30,87.8,605.0,9.3,1.3,138949.0,9123,2,74.05224817826998,1,부족
243,24,사당,30,98.9,586.0,13.4,0.9,138949.0,9123,2,80.71224817826999,1,부족
244,24,사당,30,47.8,550.0,3.7,0.7,81068.0,123,0,41.14936225029321,1,부족
